product_link;award_link;vintage;grade;contributor
https://www.gall.nl/mucho-mas-tinto-rood-75cl-117196.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=117196;Oogstjaar 0000;90 punten;Gilbert and Gaillard
https://www.gall.nl/mucho-mas-tinto-rood-75cl-117196.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=117196;;7+;De Grote Hamersma
https://www.gall.nl/mucho-mas-blanco-wit-75cl-139939.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=139939;Oogstjaar;8;De Grote Hamersma
https://www.gall.nl/la-palma-chardonnay-wit-75cl-388017.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388017;Oogstjaar 2020;8.5;De Grote Hamersma
https://www.gall.nl/la-palma-chardonnay-wit-75cl-388017.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388017;Oogstjaar 2021;8.5;De Grote Hamersma
https://www.gall.nl/la-palma-chardonnay-wit-75cl-388017.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=388017;Oogstjaar 2022;8.5;De Grote Hamersma
https://www.gall.nl/ogio-pinot-grigio-wit-75cl-259381.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259381;Oogstjaar 2019;7;De Grote Hamersma
https://www.gall.nl/ogio-pinot-grigio-wit-75cl-259381.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259381;Oogstjaar 2020;7+;De Grote Hamersma
https://www.gall.nl/ogio-pinot-grigio-wit-75cl-259381.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259381;Oogstjaar 2021;7;De Grote Hamersma
https://www.gall.nl/ogio-pinot-grigio-wit-75cl-259381.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=259381;Oogstjaar 2022;7;De Grote Hamersma
https://www.gall.nl/valdivieso-merlot-rood-75cl-387622.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387622;Oogstjaar 2019;8.5;De Grote Hamersma
https://www.gall.nl/valdivieso-merlot-rood-75cl-387622.html;https://www.gall.nl/on/demandware.store/Sites-gall-nl-Site/nl_NL/Product-Awards?&id=387622;Oogstjaar 2020;8.5;De Grote Hamersma
