;link;type;rating;count;title;country;size;percentage;year;badge;price;main_description;usps;secondary_description;taste;complementaries;grape;label;certificate;producer_description;producer
0;https://www.gall.nl/mucho-mas-tinto-rood-75cl-117196.html;Easy Rider;4.6;200.0;Mucho Más Tinto;Spanje;75CL;14%;;2e halve prijs;6.99;Kort op hout gerijpte blend van garnacha en tempranillo afkomstig uit Toro, La Mancha en Valdepeñas. Met zwarte kersen, bramen, specerijen, zijdezachte tannines en een lange afdronk.;['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];Een wijn gemaakt van druiven uit Toro, La Mancha en Valdepeñas. Het is een kort op hout gerijpte blend van garnacha, aangevuld met tempranillo. Uiteraard moet de wijn worden gedeclasseerd tot het laagste niveau: een landwijn. Maar de smaak is geweldig: zwarte kersen, bramen, specerijen, zijdezachte tannines en een lange afdronk.;specerijen,zachten kers;blokjes kaasen worst;Tempranillo;Bevat sulfur dioxide and sulfits;2 keer bekroond;De familie Solis maakt al sinds 1952 met veel passie haar wijnen in Valdepeñas. Het wijnhuis staat goed bekend en werkt met veel respect voor de traditie in wijnmaken en wijnbouw. En dat natuurlijk in de juiste balans met de nieuwste technologiën.;Felix Solis
1;https://www.gall.nl/mucho-mas-blanco-wit-75cl-139939.html;Fruit Lover;4.4;199.0;Mucho Más Blanco;Spanje;75CL;12,5%;;2e halve prijs;6.99;"Het Spaanse Castilla-La Mancha is het grootste wijngebied ter wereld. Van verdejo, sauvignon blanc en chardonnay maakt men ter plaatse deze veelzijdige witte wijn. Ideaal voor bij tapas.
*Maximaal 6 flessen per klant.";['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];Het doel van deze wijn was om een onderscheidende stijl te creëren door de kwaliteiten van drie verschillende druivensoorten (verdejo, sauvignon blanc en chardonnay) te benutten. De druiven fermenteren in roestvrijstalen tanks, de chardonnay rijpt daarna nog op een Frans eikenhouten vat. Dit alles zorgt voor een frisse wijn met fruitige tonen van perzik, abrikoos en vanille.;fruitigen sappig;paellaen het aperitief;;Bevat sulfur dioxide and sulfits;1 keer bekroond;De familie Solis maakt al sinds 1952 met veel passie haar wijnen in Valdepeñas. Het wijnhuis staat goed bekend en werkt met veel respect voor de traditie in wijnmaken en wijnbouw. En dat natuurlijk in de juiste balans met de nieuwste technologiën.;Felix Solis
2;https://www.gall.nl/la-palma-chardonnay-wit-75cl-388017.html;Big White;4.4;200.0;La Palma Chardonnay;Chili;75CL;12%;2022;2e halve prijs;5.99;In deze 100% chardonnay proef je de smaak van tropisch fruit. Alle wijnen van Viña la Rosa worden duurzaam geproduceerd met respect voor werknemers, leveranciers en nabijgelegen gemeenschap.;['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];De La Palma wijnen worden gemaakt door het Chileense wijnbedrijf Viña la Rosa. Alle wijnen van Viña la Rosa worden duurzaam geproduceerd met respect voor werknemers, leveranciers en nabijgelegen gemeenschap. In deze 100% chardonnay proef je de smaak van tropisch fruit. Denk aan ananas, banaan en een vleugje limoen. Daarnaast ontdek je perzik, gele appel en geroosterde hazelnoten. Hij is rijk, vol en romig. Juist daarom lekker bij gegrilde kip, gerookte zalm of varkenshaas met champignonroomsaus.;soepel,zachten tropisch fruit;visen kip met roomsaus;Chardonnay;Bevat sulfur dioxide and sulfits;3 keer bekroond;Opgericht in 1824 is Viña la Rosa een van Chili’s oudste wijnbedrijven. In 1824 besloot don Francisco Ignacio, een ‘hacienda’ te kopen voor zijn eerstgeboren zoon. Hij werd verliefd op het mooie landschap van Cachapoal Valley, 120 kilometer onder Santiago. Hij kocht de ‘hacienda’ van de eerste president van Chili, Manual Encalada. De koop omvatte niet alleen de boerderij maar in de deal zaten ook wijnvaten, wijnkelders en uit Frankrijk geïmporteerde druivenranken. Sindsdien heeft de familie zich vol passie op de wijnbouw gestort. Inmiddels staat de zesde generatie aan het roer van dit wijnbedrijf. Viña la Rosa is tevens de producent van de La Palma wijnen.;Viña La Rosa
3;https://www.gall.nl/ogio-pinot-grigio-wit-75cl-259381.html;Fruit Lover;4.1;190.0;Ogio Pinot Grigio;Italië;75CL;12%;2022;2e halve prijs;6.59;"Deze Pinot Grigio uit Veneto heeft een heerlijke smaak van meloen en citrusfruit. Het is een toegankelijke witte Italiaanse wijn. Helemaal top bij gegrilde vis en pittig eten.
Lekker als borrelwijn.";['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];Deze Pinot Grigio uit Veneto heeft een heerlijke smaak van meloen en citrusfruit. Het is een toegankelijke witte Italiaanse wijn. Helemaal top bij gegrilde vis en pittig eten. En anders erg lekker bij de borrel.;toegankelijk,meloenen citrus;gegrilde visen pittige gerechten;Pinot grigio;Bevat sulfur dioxide and sulfits;4 keer bekroond;"Botter is een familiebedrijf met 70 jaar ervaring als wijnhandel en wijnproducent. Ze maken wijn in alle belangrijke wijngebieden van Italië en zijn voorzien van 'state of the art' faciliteiten. De druiven voor deze wijn groeien in Puglia, Italië's 'stiletto hak"" Deze regio profiteert van de lange, zonnige dagen die zorgen voor zeer rijpe druiven met een fantastische fruit concentratie.";Botter
4;https://www.gall.nl/valdivieso-merlot-rood-75cl-387622.html;Easy Rider;4.3;199.0;Valdivieso Merlot;Chili;75CL;13,5%;2021;2e halve prijs;6.59;Bij Valdivieso zorgt de Nieuw-Zeelandse wijnmaker Brett David Jackson er altijd voor dat het fruit de hoofdrol heeft. Deze merlot is een echte crowd pleaser.;['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];Bij de wijnen van Valdivieso zorgt de Nieuw-Zeelandse wijnmaker Brett David Jackson er altijd voor dat het fruit in de smaak de hoofdrol heeft. In het geval van deze merlot is dat pruimen, aardbei en bessen. Daarnaast proef je specerijen, koffie, chocola en een lichte rokerigheid. Deze merlot is een echte crowd pleaser. Ideaal om te schenken bij borrels of op feestjes. Hij gaat ook verrassend goed met rood vlees, pasta's, stoofschotels of gegrilde kip.;pruimen,bessenen houtrijping;gebraden kipen de borrel;Merlot;Bevat sulfur dioxide and sulfits;3 keer bekroond;Valdivieso is als eerste wijnhuis in Zuid-Amerika in 1879 begonnen met de productie van mousserende wijnen. Pas honderd jaar later startte de familie met het maken van stille wijnen. Hun filosofie is om de best mogelijke druiven te gebruiken en de typiciteit en de smaak van de druiven zoveel mogelijk in tact te houden. Zo mag de smaak van houtlagering nooit te dominant zijn. Met het ideale wijnklimaat in Chili en de grote zorg voor de druiven, brengt het domein inmiddels geweldige wijnen voort, die internationaal vele prijzen in de wacht slepen. Maar het belangrijkste is misschien wel dat een uitstekende prijs-kwaliteitverhouding kenmerkend is voor al hun wijnen.;Valdivieso
5;https://www.gall.nl/alamos-malbec-rood-75cl-387312.html;Easy Rider;4.5;200.0;Alamos Malbec;Argentinië;75CL;13,5%;2021;2e halve prijs;7.98;De Alamos wijnen worden gemaakt door Bodega Catena Zapata. Zij zijn de herontdekkers van de druif malbec, die tegenwoordig de nationale trots is van Argentinië.;['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];De Alamos wijnen worden gemaakt door Bodega Catena Zapata. Zij zijn de herontdekkers van de druif malbec, die tegenwoordig de nationale trots is van Argentinië. Je proeft rijpe bramen, cassis, kruiden en specerijen. Schenk hem bij gegrild rood vlees, stoofschotel van lam of oude kaas.;krachtig,bramenen licht kruidig;lamsvlees ,rundvleesen stoofschotel;Malbec, Syrah, Bonarda;Bevat sulfur dioxide and sulfits;7 keer bekroond;Bodega Catena Zapata is een Argentijns familiebedrijf uit 1902. De visie van het bedrijf is: ‘Great wines begin in the vineyard’. Het bedrijf maakt vele verschillende wijnen variërend van eenvoudige borrelwijnen tot de absolute top van Argentinië. Letterlijk en figuurlijk. Want de Adrianna wijngaard van het domein bevindt zich op ruim 1500 meter hoogte aan de voet van de Andes en wordt gezien als de Grand Cru van Zuid-Amerika. Patras familias Nicolás Catena Zapata heeft veel pionierswerk verricht op het gebied van malbec en is mede verantwoordelijk voor het succes van deze druif in Argentinië. In 2009 werd Nicolás Catena uitgeroepen tot Decanter Man of the Year. Catena is ook het moederbedrijf van het wijnhuis Alamos.;Alamos
6;https://www.gall.nl/bruce-jack-sauvignon-blanc-wit-75cl-145122.html;Fresh Prince;4.2;132.0;Bruce Jack Sauvignon Blanc;Zuid-Afrika;75CL;13%;2022;2e halve prijs;7.29;Deze Zuid-Afrikaanse sauvignon wordt vergeleken met een Pouilly-Fumé. Levendig en fris met groene appels, citrus- en steenfruit zoals perzik, abrikoos en nectarine.;['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];Bruce Jack maakt onder zijn eigen naam wijnen in Zuid-Afrika. Van druiven uit de Western Cape maakt hij deze Sauvignon Blanc. Daarnaast is hij levendig en fris met groene appels en citrusfruit. Schenk deze heerlijke witte wijn in combinatie met groene salades, bij asperges, bij mosselen of andere gerechten met vis of schaal- en schelpdieren.;groene appelsen citrus;aspergesen mossselen;Sauvignon blanc;Bevat sulfur dioxide and sulfits;2 keer bekroond;Bruce Jack is een bijzondere persoonlijkheid. Deze Zuid-Afrikaanse surfer, voormalig rugbyspeler en wijngenie heeft eerst gewerkt bij een van de grootste wijnbedrijven ter wereld (Accolade Wines). Daarna is hij wijn gaan maken bij The Drift (in het Zuid-Afrikaanse Overberg) en tegenwoordig maakt hij wijn onder zijn eigen naam: Bruce Jack Wines. Je zou kunnen zeggen dat wat Top Gear heeft gedaan voor de auto industrie gelijk is aan wat Bruce Jack aan het doen is voor de wijn industrie. Zijn motto is dan ook dat kwaliteitswijn voor iedereen bereikbaar moet zijn. De wijnen die onder zijn naam op de markt verschijnen zijn herkenbaar aan een opvallend etiket met bijzondere namen, scherpe teksten en opvallende smaakomschrijvingen.;Bruce Jack wines
7;https://www.gall.nl/cap-royal-cuvee-tradition-rood-75cl-415138.html;Classic Red;4.1;12.0;Cap Royal Cuvée Tradition;Frankrijk;75CL;13,5%;2019;2e halve prijs;9.29;"Jean-René Matignon is de keldermeester van Château Pichon Baron, Deuxième Grand Cru Classé uit Pauillac. Daar maakt hij wijnen die behoren tot de beste en kostbaarste van de hele wereld. Voor een breder publiek maakt hij Cap Royal. Bordeauxwijn afkomstig van eenvoudige wijngaarden uit de streek, maar dan wel met de signatuur van een van de beste wijnmakers ter wereld. Je proeft de klasse in deze typische Bordeaux Supérieur.
Lekker bij gegrild rood vlees, Beef Wellington of bij wild.";['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];Voor de Cuvée Tradition maakt Jean-René gebruik van speciaal geselecteerde wijngaarden. Deze blend van 70% merlot met 30% cabernet sauvignon rijpt bijna een jaar op eikenhouten vaten. Je proeft donker bessenfruit met cassis en pruimen. Daarnaast vanille, specerijen en tabak. Heerlijk bij allerlei gerechten met paddenstoelen, gegrild rood vlees of bij oude kazen.;complex,concentratieen lengte;gerechten met paddenstoelenen gegrild rood vlees of bij oude kazen.;Merlot, Cabernet sauvignon;Bevat sulfur dioxide and sulfits;1 keer bekroond;Jean-René Matignon is het gezicht van Château Pichon Baron (officieel Château Pichon-Longueville au Baron de Pichon-Longueville). Hij is de technisch directeur en wijnmaker van dit prestigieuze domein. Aan Jean-René werd op een dag gevraagd of hij ook een wijn wilde maken in een toegankelijke prijsklasse, met zijn signatuur. Het begon als een grap, maar inmiddels staat de handtekening van Jean-René letterlijk op het achteretiket van Cap Royal. Eigenlijk heeft Cap Royal niets te maken met Pichon Baron. De druiven voor Cap Royal groeien zelfs niet op het domein. Want voor Cap Royal maakt Jean-René een selectie van druiven uit de hele Bordeaux.;Cap Royal
8;https://www.gall.nl/la-palma-merlot-rood-75cl-388025.html;Easy Rider;4.3;199.0;La Palma Merlot;Chili;75CL;13,5%;2022;2e halve prijs;5.99;La Palma is een submerk van de Chileense producent Viña la Rosa. Deze merlot is een van de meest populaire wijnen van Gall & Gall. Hij is soepel en toegankelijk met pruimen, bramen, vanille en drop.;['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];"Deze zeer populaire rode La Palma wijn heeft heerlijke, rijpe fruitsmaken. Proef de zwarte kersen en pruimen. Een aangename, zachte smaak met duidelijke tonen van hout. Kortom; een ideale, toegankelijk borrelwijn!";rijpe bramen,pruimenen vanille;gebraden kipen de borrel;Merlot;Bevat sulfur dioxide and sulfits;3 keer bekroond;Opgericht in 1824 is Viña la Rosa een van Chili’s oudste wijnbedrijven. In 1824 besloot don Francisco Ignacio, een ‘hacienda’ te kopen voor zijn eerstgeboren zoon. Hij werd verliefd op het mooie landschap van Cachapoal Valley, 120 kilometer onder Santiago. Hij kocht de ‘hacienda’ van de eerste president van Chili, Manual Encalada. De koop omvatte niet alleen de boerderij maar in de deal zaten ook wijnvaten, wijnkelders en uit Frankrijk geïmporteerde druivenranken. Sindsdien heeft de familie zich vol passie op de wijnbouw gestort. Inmiddels staat de zesde generatie aan het roer van dit wijnbedrijf. Viña la Rosa is tevens de producent van de La Palma wijnen.;Viña La Rosa
9;https://www.gall.nl/la-palma-reserva-merlot-rood-75cl-387835.html;Easy Rider;4.3;199.0;La Palma Reserva Merlot;Chili;75CL;13,5%;2021;2e halve prijs voor premium;6.98;De term Reserva verwijst naar de houtrijping van de wijn. Deze duurzaam geproduceerde Chileense merlot is soepel en toegankelijk. Ideaal voor borrels en feestjes.;['Bestel voor 22:00 vandaag, morgen in huis', 'Gratis bezorging vanaf € 50,-', 'Veilig betalen'];In Chili is de wijnwetgeving een stuk soepeler dan in Europa. Dat maakt het mogelijk dat de wijnmaker van deze La Palma Merlot Reserva een klein gedeelte syrah mag toevoegen aan de wijn, zonder dit op het etiket te vermelden. De term Reserva verwijst naar de houtrijping van de wijn. Schenk hem als aperitief of bij pasta bolognese, karbonaadjes of kip.;rijp,geconcentreerden houtlagering;entrecôteen romige kaas;Merlot, Syrah;Bevat sulfur dioxide and sulfits;5 keer bekroond;Opgericht in 1824 is Viña la Rosa een van Chili’s oudste wijnbedrijven. In 1824 besloot don Francisco Ignacio, een ‘hacienda’ te kopen voor zijn eerstgeboren zoon. Hij werd verliefd op het mooie landschap van Cachapoal Valley, 120 kilometer onder Santiago. Hij kocht de ‘hacienda’ van de eerste president van Chili, Manual Encalada. De koop omvatte niet alleen de boerderij maar in de deal zaten ook wijnvaten, wijnkelders en uit Frankrijk geïmporteerde druivenranken. Sindsdien heeft de familie zich vol passie op de wijnbouw gestort. Inmiddels staat de zesde generatie aan het roer van dit wijnbedrijf. Viña la Rosa is tevens de producent van de La Palma wijnen.;Viña La Rosa
