;product;page_url;name;product_link;type;country;badge;price;size;rating;count;year
0;1;https://www.gall.nl/wijn/?start=0;Mucho Más Tinto;https://www.gall.nl/mucho-mas-tinto-rood-75cl-117196.html;Easy Rider;Spanje;2e halve prijs;6.99;75CL;4.6;200.0;
1;2;https://www.gall.nl/wijn/?start=0;Mucho Más Blanco;https://www.gall.nl/mucho-mas-blanco-wit-75cl-139939.html;Fruit Lover;Spanje;2e halve prijs;6.99;75CL;4.4;199.0;
2;3;https://www.gall.nl/wijn/?start=0;La Palma Chardonnay;https://www.gall.nl/la-palma-chardonnay-wit-75cl-388017.html;Big White;Chili;2e halve prijs;5.99;75CL;4.4;200.0;2022
3;4;https://www.gall.nl/wijn/?start=0;Ogio Pinot Grigio;https://www.gall.nl/ogio-pinot-grigio-wit-75cl-259381.html;Fruit Lover;Italië;2e halve prijs;6.59;75CL;4.1;188.0;2022
4;5;https://www.gall.nl/wijn/?start=0;Valdivieso Merlot;https://www.gall.nl/valdivieso-merlot-rood-75cl-387622.html;Easy Rider;Chili;2e halve prijs;6.59;75CL;4.3;199.0;2021
5;6;https://www.gall.nl/wijn/?start=0;Alamos Malbec;https://www.gall.nl/alamos-malbec-rood-75cl-387312.html;Easy Rider;Argentinië;2e halve prijs;7.98;75CL;4.5;200.0;2021
6;7;https://www.gall.nl/wijn/?start=0;Bruce Jack Sauvignon Blanc;https://www.gall.nl/bruce-jack-sauvignon-blanc-wit-75cl-145122.html;Fresh Prince;Zuid-Afrika;2e halve prijs;7.29;75CL;4.2;131.0;2022
7;8;https://www.gall.nl/wijn/?start=0;Cap Royal Cuvée Tradition;https://www.gall.nl/cap-royal-cuvee-tradition-rood-75cl-415138.html;Classic Red;Frankrijk;2e halve prijs;9.29;75CL;4.1;12.0;2019
8;9;https://www.gall.nl/wijn/?start=0;La Palma Merlot;https://www.gall.nl/la-palma-merlot-rood-75cl-388025.html;Easy Rider;Chili;2e halve prijs;5.99;75CL;4.3;199.0;2022
9;10;https://www.gall.nl/wijn/?start=12;La Palma Reserva Merlot;https://www.gall.nl/la-palma-reserva-merlot-rood-75cl-387835.html;Easy Rider;Chili;2e halve prijs voor premium;6.98;75CL;4.3;199.0;2021
10;11;https://www.gall.nl/wijn/?start=12;Valdivieso Sauvignon Blanc;https://www.gall.nl/valdivieso-sauvignon-blanc-wit-75cl-387630.html;Fresh Prince;Chili;2e halve prijs;6.59;75CL;4.4;200.0;2022
11;12;https://www.gall.nl/wijn/?start=12;Piccini Memoro Rosso;https://www.gall.nl/piccini-memoro-rosso-rood-75cl-100803.html;Easy Rider;Italië;2e halve prijs;7.98;75CL;4.6;199.0;2020
12;13;https://www.gall.nl/wijn/?start=12;Valdivieso Chardonnay;https://www.gall.nl/valdivieso-chardonnay-wit-75cl-387614.html;Big White;Chili;2e halve prijs;6.59;75CL;4.4;199.0;2022
13;14;https://www.gall.nl/wijn/?start=12;La Palma Reserva Carmenère;https://www.gall.nl/la-palma-reserva-carmenere-rood-75cl-383708.html;Easy Rider;Chili;2e halve prijs;6.98;75CL;4.4;199.0;2021
14;15;https://www.gall.nl/wijn/?start=12;La Palma Reserva Chardonnay;https://www.gall.nl/la-palma-reserva-chardonnay-wit-75cl-387843.html;Big White;Chili;2e halve prijs;6.98;75CL;4.3;200.0;2021
15;16;https://www.gall.nl/wijn/?start=12;Stonelake Chardonnay;https://www.gall.nl/stonelake-chardonnay-wit-75cl-117358.html;Big White;Chili;2e halve prijs;;75CL;4.1;108.0;2022
16;17;https://www.gall.nl/wijn/?start=12;Chapelle du Bois Merlot;https://www.gall.nl/chapelle-du-bois-merlot-rood-75cl-196533.html;Easy Rider;Frankrijk;2e halve prijs;5.69;75CL;4.4;77.0;2021
17;18;https://www.gall.nl/wijn/?start=12;Arrogant Frog Single Vineyard Chardonnay Les Cres;https://www.gall.nl/arrogant-frog-single-vineyard-chardonnay-les-cres-wit-75cl-128961.html;Big White;Frankrijk;2e halve prijs;8.65;75CL;4.4;124.0;2021
18;19;https://www.gall.nl/wijn/?start=12;Mount Vernon Sauvignon Blanc;https://www.gall.nl/mount-vernon-sauvignon-blanc-wit-75cl-386936.html;Fresh Hammer;Nw.-Zeeland;2e halve prijs;10.65;75CL;4.7;199.0;2022
19;20;https://www.gall.nl/wijn/?start=12;Argento Selección Chardonnay;https://www.gall.nl/argento-seleccion-chardonnay-wit-75cl-388971.html;Big White;Argentinië;2e halve prijs;7.98;75CL;4.2;70.0;2021
20;21;https://www.gall.nl/wijn/?start=24;Valdivieso Winemaker's Reserva Cabernet Sauvignon;https://www.gall.nl/valdivieso-winemakers-reserva-cabernet-sauvignon-rood-75cl-387568.html;Easy Rider;Chili;2e halve prijs;7.29;75CL;4.3;175.0;2020
21;22;https://www.gall.nl/wijn/?start=24;Bruce Jack Cabernet Sauvignon;https://www.gall.nl/bruce-jack-cabernet-sauvignon-rood-75cl-145157.html;Easy Rider;Zuid-Afrika;2e halve prijs;7.98;75CL;3.8;4.0;2019
22;23;https://www.gall.nl/wijn/?start=24;Tokara Sauvignon Blanc;https://www.gall.nl/tokara-sauvignon-blanc-wit-75cl-380350.html;Fresh Hammer;Zuid-Afrika;2e halve prijs;10.65;75CL;4.6;29.0;2022
23;24;https://www.gall.nl/wijn/?start=24;Valdivieso Winemaker's Reserva Chardonnay;https://www.gall.nl/valdivieso-winemakers-reserva-chardonnay-wit-75cl-387681.html;Fruit Lover;Chili;2e halve prijs voor premium;7.29;75CL;4.4;200.0;2021
24;25;https://www.gall.nl/wijn/?start=24;Yealands Reserve Sauvignon Blanc;https://www.gall.nl/yealands-reserve-sauvignon-blanc-wit-75cl-382795.html;Fresh Hammer;Nw.-Zeeland;2e halve prijs;11.98;75CL;4.8;33.0;2021
25;26;https://www.gall.nl/wijn/?start=24;Beacon Hill Sauvignon Blanc;https://www.gall.nl/beacon-hill-sauvignon-blanc-wit-75cl-120049.html;Fresh Hammer;Zuid-Afrika;2e halve prijs;;75CL;3.7;16.0;2022
26;27;https://www.gall.nl/wijn/?start=24;Arrogant Frog Malbec Syrah;https://www.gall.nl/arrogant-frog-malbec-syrah-rood-75cl-102598.html;Easy Rider;Frankrijk;2e halve prijs;8.69;75CL;4.5;137.0;2021
27;28;https://www.gall.nl/wijn/?start=24;Cantina di Verona Valpolicella Ripasso;https://www.gall.nl/cantina-di-verona-valpolicella-ripasso-rood-75cl-259756.html;Easy Rider;Italië;2e halve prijs voor premium;10.65;75CL;4.5;200.0;2019
28;29;https://www.gall.nl/wijn/?start=24;Glorioso Rioja Reserva;https://www.gall.nl/glorioso-rioja-reserva-rood-75cl-307920.html;Classic Red;Spanje;2e halve prijs;11.49;75CL;4.1;37.0;2016
29;30;https://www.gall.nl/wijn/?start=24;Alamos Chardonnay;https://www.gall.nl/alamos-chardonnay-wit-75cl-387320.html;Big White;Argentinië;2e halve prijs;7.98;75CL;4.4;199.0;2022
30;31;https://www.gall.nl/wijn/?start=24;Montenay Cabernet Sauvignon;https://www.gall.nl/montenay-cabernet-sauvignon-rood-75cl-196177.html;Classic Red;Frankrijk;2e halve prijs;6.99;75CL;4.2;17.0;2021
31;32;https://www.gall.nl/wijn/?start=24;Clearwater Cove Sauvignon Blanc;https://www.gall.nl/clearwater-cove-sauvignon-blanc-wit-75cl-389773.html;Fresh Hammer;Nw.-Zeeland;2e halve prijs voor premium;10.98;75CL;4.6;199.0;2022
32;33;https://www.gall.nl/wijn/?start=36;Baumgartner Grüner Veltliner;https://www.gall.nl/baumgartner-gr%C3%BCner-veltliner-wit-75cl-219819.html;Fruit Lover;Oostenrijk;2e halve prijs;7.29;75CL;4.2;75.0;2021
33;34;https://www.gall.nl/wijn/?start=36;Bruce Jack Shiraz;https://www.gall.nl/bruce-jack-shiraz-rood-75cl-145130.html;Easy Rider;Zuid-Afrika;2e halve prijs;7.98;75CL;4.0;3.0;2018
34;35;https://www.gall.nl/wijn/?start=36;Echo Chardonnay;https://www.gall.nl/echo-chardonnay-wit-75cl-163848.html;Fruit Lover;Chili;2e halve prijs;5.29;75CL;4.2;17.0;2022
35;36;https://www.gall.nl/wijn/?start=36;Arrogant Frog Single Vineyard Cabernet Sauvignon Les Calades;https://www.gall.nl/arrogant-frog-single-vineyard-cabernet-sauvignon-les-calades-rood-75cl-128937.html;Easy Rider;Frankrijk;2e halve prijs;8.65;75CL;4.5;199.0;2021
36;37;https://www.gall.nl/wijn/?start=36;Otoñal Rioja Crianza;https://www.gall.nl/oto%C3%B1al-rioja-crianza-rood-75cl-309818.html;Classic Red;Spanje;2e halve prijs;5.49;75CL;4.2;86.0;2020
37;38;https://www.gall.nl/wijn/?start=36;Bruce Jack Reserve Chardonnay;https://www.gall.nl/bruce-jack-reserve-chardonnay-wit-75cl-157708.html;Big White;Zuid-Afrika;2e halve prijs;9.98;75CL;4.4;10.0;2021
38;39;https://www.gall.nl/wijn/?start=36;Tokara Cabernet Sauvignon;https://www.gall.nl/tokara-cabernet-sauvignon-rood-75cl-383228.html;Big Red;Zuid-Afrika;2e halve prijs;13.98;75CL;4.6;16.0;2019
39;40;https://www.gall.nl/wijn/?start=36;Boschkloof Chardonnay;https://www.gall.nl/boschkloof-chardonnay-wit-75cl-385360.html;Big White;Zuid-Afrika;2e halve prijs;11.98;75CL;4.3;11.0;2022
40;41;https://www.gall.nl/wijn/?start=36;Catena Altamira Malbec;https://www.gall.nl/catena-altamira-malbec-rood-75cl-154040.html;Easy Rider;Argentinië;;11.29;75CL;4.5;113.0;2020
41;42;https://www.gall.nl/wijn/?start=36;Valdivieso Winemaker's Reserva Sauvignon Blanc;https://www.gall.nl/valdivieso-winemakers-reserva-sauvignon-blanc-wit-75cl-389994.html;Fresh Prince;Chili;2e halve prijs;7.29;75CL;4.4;200.0;2021
42;43;https://www.gall.nl/wijn/?start=36;Bruce Jack Reserve Sauvignon Blanc;https://www.gall.nl/bruce-jack-reserve-sauvignon-blanc-wit-75cl-157643.html;Fresh Prince;Zuid-Afrika;2e halve prijs;11.39;75CL;4.0;3.0;2021
43;44;https://www.gall.nl/wijn/?start=36;Inycon Estate Pinot Grigio;https://www.gall.nl/inycon-estate-pinot-grigio-wit-75cl-104353.html;Fruit Lover;Italië;2e halve prijs voor premium;7.29;75CL;4.3;200.0;2021
44;45;https://www.gall.nl/wijn/?start=48;Ondarre Rioja Gran Reserva;https://www.gall.nl/ondarre-rioja-gran-reserva-rood-75cl-156442.html;Classic Red;Spanje;;13.29;75CL;4.3;84.0;2016
